sentence,highlight,category,subcategory,polarity
The Government has made it illegal for dogs to attack badgers whilst it is still legal for dogs to attack foxes.,still legal,JUDGEMENT,PROPRIETY,NEG
Surely this is unfair and hypocritical of the government.,unfair and hypocritical,JUDGEMENT,PROPRIETY,NEG
It is also illegal for two dogs to attack each other for the enjoyment of the spectators.,NONE,NONE,NONE,NONE
"At least if one dog fights another the fight is, in some, fair.",fair,JUDGEMENT,PROPRIETY,POS
But it is still perfectly legal for an infinite number of dogs to attack a single fox for the enjoyment of others.,still perfectly legal,JUDGEMENT,PROPRIETY,NEG
"The fox stands no chance, why is fox hunting legal whereas all other blood sports are banned.",blood sports,JUDGEMENT,PROPRIETY,NEG
"Fox hunting is, for the most part, enjoyed by the upper-class.",enjoyed by the upper-class,JUDGEMENT,PROPRIETY,NEG
"It is expensive to partake in as you need a horse, dogs and riding equipment (eg. helmet, boots etc.)",NONE,NONE,NONE,NONE
you also need land to do it in.,NONE,NONE,NONE,NONE
"It is my opinion that the conservative government will not ban fox-hunting because it will loose the support and funding from its upper class, wealthy supporters who fox hunt.",NONE,NONE,NONE,NONE
In a time when Britain has very few surviving wild animals surely something should be done to protect the fox.,NONE,NONE,NONE,NONE
The British government is always among the first countries to support the protection of wild animals in other countries (eg. when banning whaling) and they are very ready to attack countries who do kill wild animals (eg. the destruction of habitats in the Brazillian rain forests).,to support the protection,JUDGEMENT,PROPRIETY,POS
But when it comes to ceasing the hunting and brutal killing of one of Britains few natural animals they seem to turn a blind eye.,turn a blind eye,JUDGEMENT,PROPRIETY,NEG
According to people who partake in fox hunting it is an enjoyable sport.,NONE,NONE,NONE,NONE
A sport is when two evenly matched teams or individuals partake in a game for enjoyment or a prize.,NONE,NONE,NONE,NONE
It could be grossly unfair to match one footballer against a team of eleven as the result would be a foregone conclusion.,grossly unfair,JUDGEMENT,PROPRIETY,NEG
If one boxer had to fight ten boxers this would be unfair.,unfair,JUDGEMENT,PROPRIETY,NEG
But matching one fox against a pack of dogs in a fight to the death is still considered a sport.,fight to the death is still considered a sport,JUDGEMENT,PROPRIETY,NEG
Cricket is a sport the brutal chase and killing of a fix for the enjoyment of the upper-class is not.,killing of a fix for the enjoyment,JUDGEMENT,PROPRIETY,NEG
"Since the beginning of man on this earth we have always detected, stalked, captured and killed our prey.",NONE,NONE,NONE,NONE
This was essential for our survival.,essential,JUDGEMENT,NORMALITY,POS
In the modern world there is no need to hunt in order to obtain our food.,no need,APPRECIATION,WORTH,NEG
"This raises the moral issue, 'is it right and just to kill animals if we aren't going to eat them'?",moral issue,JUDGEMENT,PROPRIETY,NEG
Are blood sports acceptable in todays society?,NONE,NONE,NONE,NONE
"Then again, should foxhunting be classed as a sport.",NONE,NONE,NONE,NONE
"The fox, by its nature, is a menace to farmers as it is a carniverous predator and will eat the farmers smaller livestock.",NONE,NONE,NONE,NONE
Therefore foxhunting has the purpose of a modern day 'pest control company' whose role is to exterminate rodents and pests.,NONE,NONE,NONE,NONE
There are however organised leisure fox hunts for fun and I am sure that the participants enjoy themselves immensely., fox hunts for fun,JUDGEMENT,PROPRIETY,NEG
No doubt most of the fun is had in the chase and not the kill.,NONE,NONE,NONE,NONE
"Therefore perhaps like fishermen (leisure), the prey could be caught and then released.",NONE,NONE,NONE,NONE
Unfortunately the hounds won't see it this way!,NONE,NONE,NONE,NONE
The pursuit of fox hunting comes under a lot of attack from pressure groups.,NONE,NONE,NONE,NONE
Protests are all very well but the protesters have taken it too far recently.,too far,JUDGEMENT,NORMALITY,NEG
In the 1st week of the New Year a man and his wife were beaten up severely by a gang of protestors in front of their two young children.,beaten up severely,JUDGEMENT,PROPRIETY,NEG
by doing this the protestors are taking the law into their own hands and whats more are violating the very laws of inhumanity which they so ardently stick up for.,violating the very laws of inhumanity,JUDGEMENT,PROPRIETY,NEG
By banning fox hunting the law would probably drive the sport 'underground' as it were and the participants would find some way around it.,NONE,NONE,NONE,NONE
The sport will and probably always has been under attack from protestors but strong public opinion against blood sports doesn't give them the right to fight back literally.,strong public opinion against blood sports,JUDGEMENT,PROPRIETY,POS
There is a strong argument that fox hunting is a national institution and a tradition which should be continued.,NONE,NONE,NONE,NONE
"However, I don't think that it will be banned and all that can be done is to have policemen on site to ensure that during a hunt the fox is the only animal that gets killed!",NONE,NONE,NONE,NONE
The reason why fox hunting should be banned is because it is a cruel sport.,cruel,JUDGEMENT,PROPRIETY,NEG
There are many people trying to stop the sport taking place.,NONE,NONE,NONE,NONE
The reason why people kill and hunt foxes is because they kill chickens and because they enjoy the social side of the sport.,NONE,NONE,NONE,NONE
In this present time I am sure farmers can come up with some idea to prevent the fox's getting at his chickens.,can come up,JUDGEMENT,CAPACITY,POS
If they did this then there would not be a need for killing foxs and going on hunts.,NONE,NONE,NONE,NONE
When hunts take place other wildlife are harmed as well as the foxs.,NONE,NONE,NONE,NONE
Some homes of animals may be destroyed and some inocent animals may be harmed.,harmed,JUDGEMENT,PROPRIETY,NEG
Once the foxs are caught it is said that they suffer a horrible death and if this continues it will be unfair.,unfair,JUDGEMENT,PROPRIETY,NEG
"Many people have no problems with foxs and the hunt should not be included as a sport, as it will not be fun to experience.",will not be fun,APPRECIATION,REACTION,NEG
